Fecha,Tiempo de Inicio,Tiempo fianl,Duración,Duración real.,Proyecto,Descripcion,Sentimiento,Etiquetas
7/14/2022,11:12 a. m.,2:05 p. m.,2:53:00,2:53:00,Ciclismo,"Montar, cicloturismo, Svanvik a ""Bälögat, Suecia""",-,
7/14/2022,2:05 p. m.,3:15 p. m.,1:10:00,1:10:00,"Comer, Vestirse u Higiene","Comer, sandwich",-,Lectura
7/14/2022,3:16 p. m.,4:04 p. m.,0:48:00,0:48:00,Ciclismo,"Montar, cicloturismo, Bälögat a ""Skaftö, Suecia""",-,
7/14/2022,4:05 p. m.,4:34 p. m.,0:29:00,0:29:00,Transporte,"Barco, Skaftö a ""Lysekil, Suecia""",-,
7/14/2022,4:34 p. m.,6:11 p. m.,1:37:00,1:37:00,Errands Afueras,"Comprar, comestibles, sacar, agua",-,
7/14/2022,6:11 p. m.,7:05 p. m.,0:54:00,0:54:00,Ciclismo,"Montar, cicloturismo, Lysekil a Lysekil",-,
7/14/2022,7:05 p. m.,7:25 p. m.,0:20:00,0:20:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Música
7/14/2022,7:25 p. m.,8:46 p. m.,1:21:00,1:21:00,"Comer, Vestirse u Higiene","Comer, pan, porotos",-,Música
7/14/2022,8:48 p. m.,9:14 p. m.,0:26:00,0:26:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Música
7/14/2022,9:14 p. m.,10:23 p. m.,1:09:00,1:09:00,Escritura y Vídeos,Strava,-,
7/15/2022,6:37 a. m.,7:38 a. m.,1:01:00,1:01:00,Tareas Domésticas,"Empacar, sitio de camping",-,Música
7/15/2022,7:38 a. m.,8:57 a. m.,1:19:00,1:19:00,"Comer, Vestirse u Higiene","Comer, avena",-,Música
7/15/2022,8:56 a. m.,12:58 p. m.,4:02:00,4:02:00,Ciclismo,"Montar, cicloturismo, Lysekil a ""Tanumshede, Suecia""",-,
7/15/2022,12:59 p. m.,2:20 p. m.,1:21:00,1:21:00,"Comer, Vestirse u Higiene","Comer, sandwich, BBC Global News Podcast, The Daily",-,"Comer, Lectura, Podcast"
7/15/2022,2:20 p. m.,6:41 p. m.,4:21:00,4:21:00,Ciclismo,"Montar, cicloturismo, Tanumshede a ""Isebakke, Noruega""",Normal,
7/15/2022,6:42 p. m.,7:38 p. m.,0:56:00,0:56:00,Tareas Domésticas,"Desempacar, sitio de camping, Dear Hank and John",-,
7/15/2022,7:39 p. m.,9:28 p. m.,1:49:00,1:49:00,"Comer, Vestirse u Higiene","Comer, pan, porotos, Dear Hank and John",-,"Comer, Lectura, Podcast"
7/15/2022,9:29 p. m.,10:20 p. m.,0:51:00,0:51:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Música
7/15/2022,10:20 p. m.,10:30 p. m.,0:10:00,0:10:00,Escritura y Vídeos,Strava,-,
7/16/2022,6:48 a. m.,8:02 a. m.,1:14:00,1:14:00,Tareas Domésticas,"Empacar, sitio de camping",-,Música
7/16/2022,8:02 a. m.,9:14 a. m.,1:12:00,1:12:00,"Comer, Vestirse u Higiene","Comer, avena",-,Música
7/16/2022,9:15 a. m.,10:11 a. m.,0:56:00,0:56:00,Tareas Domésticas,"Empacar, sitio de camping",-,Música
7/16/2022,10:11 a. m.,12:14 p. m.,2:03:00,2:03:00,Ciclismo,"Montar, cicloturismo, Isebakke a ""Sarpsborg, Noruega""",-,
7/16/2022,12:15 p. m.,1:10 p. m.,0:55:00,0:55:00,Errands Afueras,"Comprar, comestibles",-,"Bici, Música"
7/16/2022,1:10 p. m.,2:40 p. m.,1:30:00,1:30:00,"Comer, Vestirse u Higiene","Comer, sandwich, BBC Global News Podcast, The Daily",-,
7/16/2022,2:40 p. m.,3:07 p. m.,0:27:00,0:27:00,Ciclismo,"Mantener, bici",-,Música
7/16/2022,3:06 p. m.,6:36 p. m.,3:30:00,3:30:00,Ciclismo,"Montar, cicloturismo, Sarpsborg a ""Vestby, Noruega""",-,
7/16/2022,6:37 p. m.,7:12 p. m.,0:35:00,0:35:00,Tareas Domésticas,"Desempacar, sitio de camping, The Ezra Klein Show",-,
7/16/2022,7:12 p. m.,8:53 p. m.,1:41:00,1:41:00,"Comer, Vestirse u Higiene","Comer, pan, porotos, The Ezra Klein Show",-,"Comer, Lectura, Podcast"
7/16/2022,8:52 p. m.,9:23 p. m.,0:31:00,0:31:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Lectura
7/16/2022,9:23 p. m.,9:59 p. m.,0:36:00,0:36:00,Escritura y Vídeos,Strava,-,
7/17/2022,6:27 a. m.,7:11 a. m.,0:44:00,0:44:00,Recreo Misc,Pensar,-,
7/17/2022,7:12 a. m.,7:40 a. m.,0:28:00,0:28:00,Recreo Misc,Personal,-,
7/17/2022,7:40 a. m.,8:18 a. m.,0:38:00,0:38:00,Tareas Domésticas,"Empacar, sitio de camping, BBC Global News Podcast",-,
7/17/2022,8:20 a. m.,9:51 a. m.,1:31:00,1:31:00,"Comer, Vestirse u Higiene","Comer, avena, BBC Global News Podcast, audiolibro, Song of Solomon",Malo,"Comer, Lectura, Podcast"
7/17/2022,9:50 a. m.,10:51 a. m.,1:01:00,1:01:00,Tareas Domésticas,"Empacar, sitio de camping",-,Lectura
7/17/2022,10:52 a. m.,12:45 p. m.,1:53:00,1:53:00,Ciclismo,"Montar, cicloturismo, Vestby a ""Oslo, Noruega""",-,
7/17/2022,12:45 p. m.,1:56 p. m.,1:11:00,1:11:00,"Comer, Vestirse u Higiene",Ducharse,-,
7/17/2022,1:56 p. m.,2:54 p. m.,0:58:00,0:58:00,Ciclismo,"Montar, cicloturismo, Oslo a Oslo",-,
7/17/2022,2:55 p. m.,3:36 p. m.,0:41:00,0:41:00,Recreo Misc,"Explorar, Oslo",-,Bici
7/17/2022,3:36 p. m.,4:38 p. m.,1:02:00,1:02:00,"Comer, Vestirse u Higiene","Comer, sandwich",-,
7/17/2022,4:39 p. m.,5:01 p. m.,0:22:00,0:22:00,"Comer, Vestirse u Higiene","Comer, sandwich, charlar, Ando",-,
7/17/2022,5:03 p. m.,6:06 p. m.,1:03:00,1:03:00,Recreo Social,"Explorar, Oslo, Ando",-,"Bici, Social/Grupo"
7/17/2022,6:05 p. m.,7:47 p. m.,1:42:00,1:42:00,Recreo Social,"Charlar, Ando",Normal,Social/Grupo
7/17/2022,7:47 p. m.,8:28 p. m.,0:41:00,0:41:00,Escritura y Vídeos,Strava,-,
7/17/2022,8:27 p. m.,9:40 p. m.,1:13:00,1:13:00,Recreo Social,"Charlar, Ando",-,
7/17/2022,9:30 p. m.,10:01 p. m.,0:31:00,0:31:00,Recreo Social,"Charlar, Ando",-,
7/18/2022,7:16 a. m.,7:54 a. m.,0:38:00,0:38:00,Email Y Logística,"Investigar, actividades, Ando",-,"Electrónica, Social/Grupo"
7/18/2022,7:54 a. m.,10:02 a. m.,2:08:00,2:08:00,"Comer, Vestirse u Higiene","Comer, avena, charlar, Ando",-,
7/18/2022,10:02 a. m.,11:36 a. m.,1:34:00,1:34:00,Recreo Social,"Explorar, Oslo, Ando",-,Bici
7/18/2022,11:36 a. m.,3:41 p. m.,4:05:00,4:05:00,Recreo Social,"Explorar, Oslo, museo, Ando",-,Pie
7/18/2022,3:41 p. m.,4:29 p. m.,0:48:00,0:48:00,Recreo Social,"Explorar, Oslo, Ando",-,Bici
7/18/2022,4:30 p. m.,5:25 p. m.,0:55:00,0:55:00,Recreo Social,"Comer, comprado, tailandesa, charlar, Ando",-,
7/18/2022,5:25 p. m.,6:11 p. m.,0:46:00,0:46:00,Recreo Social,"Explorar, Oslo, Ando",-,Bici
7/18/2022,6:10 p. m.,6:42 p. m.,0:32:00,0:32:00,Errands Afueras,"Comprar, comestibles",-,Bici
7/18/2022,6:42 p. m.,8:12 p. m.,1:30:00,1:30:00,Email Y Logística,"Investigar, rutas",-,Electrónica
7/18/2022,8:13 p. m.,9:57 p. m.,1:44:00,1:44:00,Recreo Social,"Charlar, Ando",Bueno,
7/18/2022,9:55 p. m.,10:13 p. m.,0:18:00,0:18:00,Recreo Social,"Charlar, Ando",-,
7/19/2022,6:46 a. m.,7:06 a. m.,0:20:00,0:20:00,Recreo Misc,Pe,-,
7/19/2022,7:05 a. m.,7:43 a. m.,0:38:00,0:38:00,"Comer, Vestirse u Higiene",Ducharse,-,
7/19/2022,7:43 a. m.,8:37 a. m.,0:54:00,0:54:00,"Comer, Vestirse u Higiene","Comer, avena, charlar, Ando",-,
7/19/2022,8:37 a. m.,10:04 a. m.,1:27:00,1:27:00,Tareas Domésticas,"Empacar, alojamiento interior, charlar, Ando",-,
7/19/2022,10:04 a. m.,10:48 a. m.,0:44:00,0:44:00,Transporte,Oslo a Oslo,-,Bici
7/19/2022,10:48 a. m.,1:22 p. m.,2:34:00,2:34:00,Email Y Logística,"Investigar, rutas",-,Electrónica
7/19/2022,1:22 p. m.,2:46 p. m.,1:24:00,1:24:00,Recreo Electrónico,"Comer, sandwich, Forrest Gump",-,"Comer, Electrónica, Netflix"
7/19/2022,2:46 p. m.,3:50 p. m.,1:04:00,1:04:00,Recreo Electrónico,Forrest Gump,-,"Electrónica, Netflix"
7/19/2022,3:50 p. m.,4:23 p. m.,0:33:00,0:33:00,Email Y Logística,"Investigar, rutas",-,
7/19/2022,4:22 p. m.,4:56 p. m.,0:34:00,0:34:00,Escritura y Vídeos,"Escribir, blog",-,Electrónica
7/19/2022,4:55 p. m.,5:32 p. m.,0:37:00,0:37:00,Ciclismo,"Mantener, bici",-,Música
7/19/2022,5:32 p. m.,7:14 p. m.,1:42:00,1:42:00,Errands Afueras,"Lavar, la ropa",-,Bici
7/19/2022,7:15 p. m.,9:59 p. m.,2:44:00,2:44:00,Recreo Social,"Videollamada, Juan",Normal,"Electrónica, Social/Grupo"
7/19/2022,10:00 p. m.,10:38 p. m.,0:38:00,0:38:00,Ciclismo,"Montar, cicloturismo, Oslo a Oslo",-,
7/19/2022,10:39 p. m.,11:07 p. m.,0:28:00,0:28:00,Tareas Domésticas,"Desempacar, sitio de camping",-,
7/19/2022,11:08 p. m.,12:07 a. m.,0:59:00,0:59:00,"Comer, Vestirse u Higiene","Comer, pan, porotos",-,Música
7/20/2022,12:07 a. m.,12:40 a. m.,0:33:00,0:33:00,Tareas Domésticas,"Desempacar, alojamiento interior",-,
7/20/2022,12:40 a. m.,12:48 a. m.,0:08:00,0:08:00,Escritura y Vídeos,Strava,-,
7/20/2022,8:45 a. m.,9:53 a. m.,1:08:00,1:08:00,Tareas Domésticas,"Empacar, sitio de camping, BBC Global News Podcast",-,
7/20/2022,9:52 a. m.,11:38 a. m.,1:46:00,1:46:00,"Comer, Vestirse u Higiene","Comer, avena, BBC Global News Podcast, Dear Hank and John, The War on Cars",-,
7/20/2022,11:39 a. m.,2:42 p. m.,3:03:00,3:03:00,Ciclismo,"Montar, cicloturismo, Oslo a ""Hokksund, Noruega""",-,
7/20/2022,2:42 p. m.,4:02 p. m.,1:20:00,1:20:00,"Comer, Vestirse u Higiene","Comer, sandwich, BBC Global News Podcast, Making Sense with Sam Harris",-,Comer
7/20/2022,4:02 p. m.,7:06 p. m.,3:04:00,3:04:00,Ciclismo,"Montar, cicloturismo, Hokksund a ""Lampeland, Noruega""",-,
7/20/2022,7:07 p. m.,7:56 p. m.,0:49:00,0:49:00,Tareas Domésticas,"Desempacar, sitio de camping, Dear Hank and John",-,
7/20/2022,7:56 p. m.,9:37 p. m.,1:41:00,1:41:00,"Comer, Vestirse u Higiene","Comer, pan, porotos, audiolibro, Beloved, Dear Hank and John",-,Comer
7/20/2022,9:35 p. m.,10:07 p. m.,0:32:00,0:32:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Música
7/20/2022,10:07 p. m.,10:40 p. m.,0:33:00,0:33:00,Escritura y Vídeos,Strava,-,
7/21/2022,6:57 a. m.,7:49 a. m.,0:52:00,0:52:00,Tareas Domésticas,"Empacar, sitio de camping",-,Música
7/21/2022,7:49 a. m.,8:36 a. m.,0:47:00,0:47:00,"Comer, Vestirse u Higiene","Comer, avena, The Daily",-,Música
7/21/2022,8:35 a. m.,9:21 a. m.,0:46:00,0:46:00,Tareas Domésticas,"Empacar, sitio de camping",-,Música
7/21/2022,9:21 a. m.,11:31 a. m.,2:10:00,2:10:00,Ciclismo,"Montar, cicloturismo, Lampeland a ""Veggli, Noruega""",Normal,
7/21/2022,11:32 a. m.,12:49 p. m.,1:17:00,1:17:00,Errands Afueras,"Comprar, comestibles",-,
7/21/2022,12:49 p. m.,2:04 p. m.,1:15:00,1:15:00,"Comer, Vestirse u Higiene","Comer, sandwich, BBC Global News Podcast, The Daily",-,"Comer, Podcast"
7/21/2022,2:05 p. m.,3:34 p. m.,1:29:00,1:29:00,Ciclismo,"Reparar, bici, charlar, The Ezra Klein Show",-,
7/21/2022,3:34 p. m.,6:46 p. m.,3:12:00,3:12:00,Ciclismo,"Montar, cicloturismo, Veggli a ""Uvdal, Noruega""",-,
7/21/2022,6:48 p. m.,8:17 p. m.,1:29:00,1:29:00,Tareas Domésticas,"Desempacar, sitio de camping, BBC Global News Podcast, The Daily",-,
7/21/2022,8:16 p. m.,10:13 p. m.,1:57:00,1:57:00,"Comer, Vestirse u Higiene","Comer, pan, porotos, BBC Global News Podcast, The Daily, Dear Hank and John",-,
7/21/2022,10:12 p. m.,10:32 p. m.,0:20:00,0:20:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Música
7/21/2022,10:32 p. m.,10:52 p. m.,0:20:00,0:20:00,Escritura y Vídeos,Strava,-,
7/22/2022,7:14 a. m.,8:08 a. m.,0:54:00,0:54:00,Tareas Domésticas,"Empacar, sitio de camping, The Daily",-,"Lectura, Podcast"
7/22/2022,8:08 a. m.,9:12 a. m.,1:04:00,1:04:00,"Comer, Vestirse u Higiene","Comer, avena, Dear Hank and John",-,"Comer, Podcast"
7/22/2022,9:08 a. m.,9:55 a. m.,0:47:00,0:47:00,Tareas Domésticas,"Empacar, sitio de camping",-,Música
7/22/2022,9:54 a. m.,1:57 p. m.,4:03:00,4:03:00,Ciclismo,"Montar, cicloturismo, Uvdal a ""Geilo, Noruega""",-,
7/22/2022,1:57 p. m.,2:23 p. m.,0:26:00,0:26:00,Errands Afueras,"Comprar, equipo de bici",-,Pie
7/22/2022,2:23 p. m.,3:23 p. m.,1:00:00,1:00:00,"Comer, Vestirse u Higiene","Comer, sandwich, BBC Global News Podcast",-,
7/22/2022,3:23 p. m.,4:11 p. m.,0:48:00,0:48:00,Ciclismo,"Mantener, bici, BBC Global News Podcast",-,"Música, Podcast"
7/22/2022,4:12 p. m.,7:37 p. m.,3:25:00,3:25:00,Ciclismo,"Montar, cicloturismo, Geilo a ""Ginseng, Noruega""",Normal,
7/22/2022,7:38 p. m.,8:18 p. m.,0:40:00,0:40:00,Tareas Domésticas,"Desempacar, sitio de camping, Making Sense with Sam Harris",-,
7/22/2022,8:16 p. m.,10:02 p. m.,1:46:00,1:46:00,"Comer, Vestirse u Higiene","Comer, pan, porotos, BBC Global News Podcast, The Ezra Klein Show",-,
7/22/2022,10:02 p. m.,10:38 p. m.,0:36:00,0:36:00,Tareas Domésticas,"Desempacar, sitio de camping, audiolibro, Out of the Silent Planet",-,
7/22/2022,10:38 p. m.,11:12 p. m.,0:34:00,0:34:00,Escritura y Vídeos,Strava,-,
7/23/2022,7:21 a. m.,8:46 a. m.,1:25:00,1:25:00,Tareas Domésticas,"Empacar, sitio de camping",-,Lectura
7/23/2022,8:46 a. m.,9:06 a. m.,0:20:00,0:20:00,Ciclismo,"Montar, cicloturismo, Finse a Finse",-,
7/23/2022,9:06 a. m.,10:12 a. m.,1:06:00,1:06:00,"Comer, Vestirse u Higiene","Comer, avena",-,Lectura
7/23/2022,10:12 a. m.,1:12 p. m.,3:00:00,3:00:00,Ciclismo,"Montar, cicloturismo, Finse a Finse",-,
7/23/2022,1:12 p. m.,2:18 p. m.,1:06:00,1:06:00,"Comer, Vestirse u Higiene","Comer, sandwich",-,Lectura
7/23/2022,2:18 p. m.,6:15 p. m.,3:57:00,3:57:00,Ciclismo,"Montar, cicloturismo, Finse a ""Flåm, Noruega""",Bueno,
7/23/2022,6:16 p. m.,7:12 p. m.,0:56:00,0:56:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Música
7/23/2022,7:12 p. m.,7:38 p. m.,0:26:00,0:26:00,Transporte,Flåm a Flåm,-,Bici
7/23/2022,7:39 p. m.,8:22 p. m.,0:43:00,0:43:00,Email Y Logística,"Investigar, alojamiento",-,Electrónica
7/23/2022,8:23 p. m.,8:47 p. m.,0:24:00,0:24:00,Errands Afueras,"Comprar, regalos",-,Pie
7/23/2022,8:47 p. m.,9:38 p. m.,0:51:00,0:51:00,"Comer, Vestirse u Higiene","Comer, sandwich, BBC Global News Podcast, audiolibro, Perelandra",-,
7/23/2022,9:39 p. m.,10:25 p. m.,0:46:00,0:46:00,Transporte,Flåm a Flåm,-,Bici
7/23/2022,10:25 p. m.,10:43 p. m.,0:18:00,0:18:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Lectura
7/23/2022,10:42 p. m.,11:39 p. m.,0:57:00,0:57:00,Escritura y Vídeos,Strava,-,
7/24/2022,7:46 a. m.,9:41 a. m.,1:55:00,1:55:00,Tareas Domésticas,"Empacar, sitio de camping",-,Lectura
7/24/2022,9:40 a. m.,9:58 a. m.,0:18:00,0:18:00,Transporte,Flåm a Flåm,-,Bici
7/24/2022,9:57 a. m.,10:33 a. m.,0:36:00,0:36:00,Recreo Misc,"Senderismo, Flåm a Flåm",-,Pie
7/24/2022,10:34 a. m.,10:44 a. m.,0:10:00,0:10:00,Transporte,Flåm a Flåm,-,Bici
7/24/2022,10:43 a. m.,11:42 a. m.,0:59:00,0:59:00,Errands Afueras,"Comprar, comestibles",-,Bici
7/24/2022,11:43 a. m.,12:57 p. m.,1:14:00,1:14:00,"Comer, Vestirse u Higiene","Comer, avena, YouTube",-,"Comer, Electrónica, Lectura"
7/24/2022,12:57 p. m.,1:31 p. m.,0:34:00,0:34:00,Email Y Logística,"Investigar, actividades",-,Electrónica
7/24/2022,1:31 p. m.,2:13 p. m.,0:42:00,0:42:00,Ciclismo,"Mantener, bici",-,Lectura
7/24/2022,2:13 p. m.,3:02 p. m.,0:49:00,0:49:00,Recreo Social,"Mensajear, papá",-,Electrónica
7/24/2022,3:03 p. m.,5:17 p. m.,2:14:00,2:14:00,Email Y Logística,"Investigar, alojamiento, rutas",-,Electrónica
7/24/2022,5:16 p. m.,5:47 p. m.,0:31:00,0:31:00,Recreo Electrónico,YouTube,-,
7/24/2022,5:48 p. m.,6:30 p. m.,0:42:00,0:42:00,Recreo Misc,"Explorar, Flåm",-,Bici
7/24/2022,6:29 p. m.,7:39 p. m.,1:10:00,1:10:00,"Comer, Vestirse u Higiene","Comer, pan, porotos, YouTube",-,
7/24/2022,7:40 p. m.,8:04 p. m.,0:24:00,0:24:00,Transporte,Flåm a Flåm,-,Bici
7/24/2022,8:04 p. m.,8:48 p. m.,0:44:00,0:44:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Lectura
7/24/2022,8:48 p. m.,9:52 p. m.,1:04:00,1:04:00,Recreo Leer,,-,
7/25/2022,6:08 a. m.,7:12 a. m.,1:04:00,1:04:00,Tareas Domésticas,"Empacar, sitio de camping",-,
7/25/2022,7:12 a. m.,7:26 a. m.,0:14:00,0:14:00,Transporte,Flåm a Flåm,-,Bici
7/25/2022,7:26 a. m.,8:41 a. m.,1:15:00,1:15:00,"Comer, Vestirse u Higiene","Comer, avena, BBC Global News Podcast",-,"Comer, Lectura, Podcast"
7/25/2022,8:42 a. m.,9:20 a. m.,0:38:00,0:38:00,Ciclismo,"Montar, cicloturismo, Flåm a ""Aurland, Noruega""",-,Bici
7/25/2022,9:20 a. m.,12:30 p. m.,3:10:00,3:10:00,Recreo Misc,"Senderismo, Aurland a Aurland",-,Pie
7/25/2022,12:31 p. m.,12:58 p. m.,0:27:00,0:27:00,Errands Afueras,"Comprar, comestibles",-,Pie
7/25/2022,12:58 p. m.,5:02 p. m.,4:04:00,4:04:00,Transporte,Hacer autostop,Malo,
7/25/2022,5:04 p. m.,5:27 p. m.,0:23:00,0:23:00,Transporte,"Aurland a ""Lærdal, Noruega"", charlar",-,"Auto, Social/Grupo"
7/25/2022,5:27 p. m.,6:49 p. m.,1:22:00,1:22:00,Ciclismo,"Montar, cicloturismo, Lærdal a ""Haldane, Noruega""",-,
7/25/2022,6:49 p. m.,7:23 p. m.,0:34:00,0:34:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Lectura
7/25/2022,7:23 p. m.,9:03 p. m.,1:40:00,1:40:00,"Comer, Vestirse u Higiene","Comer, sandwich, Dear Hank and John",-,"Lectura, Podcast"
